Canonical Type,Count,Lines,Raw Types
UNKNOWN_PATH::sharedPreferences);,1,643,sharedPreferences);
UNKNOWN_PATH::Dio,1,644,Dio
package:flutter_sixvalley_ecommerce/core/di/data_sources/logging_interceptor.dart::LoggingInterceptor,1,645,customer_interceptor.LoggingInterceptor
UNKNOWN_PATH::Connectivity,1,646,Connectivity
UNKNOWN_PATH::NetworkInfo,1,647,NetworkInfo
UNKNOWN_PATH::GuestModeController,1,648,GuestModeController
package:flutter_sixvalley_ecommerce/core/di/data_sources/dio_client.dart::DioClient,1,649,customer_dio_client.DioClient
UNKNOWN_PATH::dataSyncRepoInterface);,1,658,dataSyncRepoInterface);
UNKNOWN_PATH::dataSyncServiceInterface);,1,661,dataSyncServiceInterface);
UNKNOWN_PATH::FlashDealRepository,1,668,FlashDealRepository
UNKNOWN_PATH::,26,"669, 705, 711, 713, 1126, 1129, 1556, 1566, 1579, 1585, 1597, 1611, 1616, 1618, 1624, 1626, 1640, 1653, 1655, 1657, 1662, 1669, 1674, 1677, 1690, 1693",", , , , , , , , , , , , , , , , , , , , , , , , , "
UNKNOWN_PATH::OnBoardingRepository,1,677,OnBoardingRepository
UNKNOWN_PATH::ProductDetailsRepository,1,680,ProductDetailsRepository
UNKNOWN_PATH::OrderRepository,1,683,OrderRepository
UNKNOWN_PATH::CouponRepository,1,686,CouponRepository
UNKNOWN_PATH::ChatRepository,1,687,ChatRepository
UNKNOWN_PATH::NotificationRepository,1,688,NotificationRepository
UNKNOWN_PATH::WishListRepository,1,691,WishListRepository
UNKNOWN_PATH::SupportTicketRepository,1,696,SupportTicketRepository
UNKNOWN_PATH::AddressRepository,1,697,AddressRepository
UNKNOWN_PATH::WalletRepository,1,698,WalletRepository
UNKNOWN_PATH::CompareRepository,1,699,CompareRepository
UNKNOWN_PATH::LoyaltyPointRepository,1,700,LoyaltyPointRepository
UNKNOWN_PATH::CheckoutRepository,1,701,CheckoutRepository
UNKNOWN_PATH::LocationRepository,1,702,LocationRepository
UNKNOWN_PATH::ShippingRepository,1,703,ShippingRepository
UNKNOWN_PATH::ContactUsRepository,1,704,ContactUsRepository
UNKNOWN_PATH::OrderDetailsRepository,1,707,OrderDetailsRepository
UNKNOWN_PATH::RefundRepository,1,708,RefundRepository
UNKNOWN_PATH::ReOrderRepository,1,709,ReOrderRepository
UNKNOWN_PATH::RestockRepository,1,710,RestockRepository
UNKNOWN_PATH::CategoryController,1,717,CategoryController
UNKNOWN_PATH::ShopController,1,718,ShopController
UNKNOWN_PATH::BrandController,1,723,BrandController
UNKNOWN_PATH::ProductController,1,724,ProductController
UNKNOWN_PATH::BannerController,1,725,BannerController
UNKNOWN_PATH::AuthController,1,728,AuthController
UNKNOWN_PATH::OrderController,1,733,OrderController
UNKNOWN_PATH::CouponController,1,734,CouponController
UNKNOWN_PATH::ChatController,1,735,ChatController
UNKNOWN_PATH::ProfileController,1,738,ProfileController
UNKNOWN_PATH::WishListController,1,739,WishListController
UNKNOWN_PATH::SplashController,1,740,SplashController
UNKNOWN_PATH::CartController,1,741,CartController
UNKNOWN_PATH::LocalizationController,1,744,LocalizationController
UNKNOWN_PATH::ThemeController,1,745,ThemeController
UNKNOWN_PATH::GoogleSignInController,1,746,GoogleSignInController
UNKNOWN_PATH::FacebookLoginController,1,747,FacebookLoginController
UNKNOWN_PATH::AddressController,1,748,AddressController
UNKNOWN_PATH::WalletController,1,749,WalletController
UNKNOWN_PATH::CompareController,1,750,CompareController
UNKNOWN_PATH::CheckoutController,1,753,CheckoutController
UNKNOWN_PATH::LocationController,1,756,LocationController
UNKNOWN_PATH::ShippingController,1,757,ShippingController
UNKNOWN_PATH::ReviewController,1,760,ReviewController
UNKNOWN_PATH::RefundController,1,765,RefundController
UNKNOWN_PATH::ReOrderController,1,766,ReOrderController
UNKNOWN_PATH::RestockController,1,767,RestockController
UNKNOWN_PATH::addressRepoInterface);,1,776,addressRepoInterface);
UNKNOWN_PATH::addressServiceInterface);,1,779,addressServiceInterface);
UNKNOWN_PATH::authRepoInterface);,1,783,authRepoInterface);
UNKNOWN_PATH::authServiceInterface);,1,786,authServiceInterface);
UNKNOWN_PATH::bannerRepositoryInterface);,1,790,bannerRepositoryInterface);
UNKNOWN_PATH::bannerServiceInterface);,1,793,bannerServiceInterface);
UNKNOWN_PATH::brandRepoInterface);,1,797,brandRepoInterface);
UNKNOWN_PATH::brandServiceInterface);,1,800,brandServiceInterface);
UNKNOWN_PATH::cartRepositoryInterface);,1,804,cartRepositoryInterface);
UNKNOWN_PATH::cartServiceInterface);,1,807,cartServiceInterface);
UNKNOWN_PATH::categoryRepoInterface);,1,811,categoryRepoInterface);
UNKNOWN_PATH::categoryServiceInterface);,1,814,categoryServiceInterface);
UNKNOWN_PATH::chatRepositoryInterface);,1,818,chatRepositoryInterface);
UNKNOWN_PATH::chatServiceInterface);,1,821,chatServiceInterface);
UNKNOWN_PATH::shippingRepositoryInterface);,1,825,shippingRepositoryInterface);
UNKNOWN_PATH::shippingServiceInterface);,1,828,shippingServiceInterface);
